"Name","Company","Email","Phone","Type","Balance","1099 Eligible","Active"
"Bob's Burger Joint","","","","","3560","No","Active"
"Books by Bessie","Books by Bessie","Books@Intuit.com","(650) 555-7745","","150","No","Active"
"Brosnahan Insurance Agency","Brosnahan Insurance Agency","","(650) 555-9912","","4482.46","No","Active"
"Cal Telephone","Cal Telephone","","(650) 555-1616","","1.4210854715202004e-14","No","Active"
"Chin's Gas and Oil","Chin's Gas and Oil","","","","0","No","Active"
"Diego's Road Warrior Bodyshop","Diego's Road Warrior Bodyshop","","","","1510","No","Active"
"Ellis Equipment Rental","Ellis Equipment Rental","Rental@intuit.com","(650) 555-3333","","0","No","Active"
"Hall Properties","Hall Properties","","(973) 555-3827","","1800","No","Active"
"Hicks Hardware","Hicks Hardware","","(650) 554-1973","","728.75","No","Active"
"Lee Advertising","Lee Advertising","","(650) 554-4622","","0","No","Active"
"Mahoney Mugs","Mahoney Mugs","","","","0","No","Active"
"Norton Lumber and Building Materials","Norton Lumber and Building Materials","Materials@intuit.com","(650) 363-6578","","410","No","Active"
"PG&E","PG&E","utilities@noemail.com","(888) 555-9465","","401.06000000000006","No","Active"
"Pam Seitz","Pam Seitz, CPA","SeitzCPA@noemail.com","(650) 557-8855","","0","No","Active"
"Robertson & Associates","Robertson & Associates","","(650) 557-1111","","1230","No","Active"
"Squeaky Kleen Car Wash","","","","","0","No","Active"
"Tania's Nursery","Tania's Nursery","plantqueen@taniasnursery.com","(886) 554-2265","","-23.5","No","Active"
"Tim Philip Masonry","Tim Philip Masonry","tim.philip@timphilipmasonry.com","(800) 556-1254","","1332","No","Active"
"Tony Rondonuwu","","tonyrjr@intuit.com","","","0","No","Active"
